"","786-0","A498","A549/ATCC","ACHN","BT-549","CAKI-1","CCRF-CEM","COLO 205","DU-145","EKVX","HCC-2998","HCT-116","HCT-15","HL-60(TB)","HOP-62","HOP-92","HS 578T","HT29","IGROV1","K-562","KM12","LOX IMVI","M14","MALME-3M","MCF7","MDA-MB-231/ATCC","MDA-MB-435","MOLT-4","NCI-H226","NCI-H23","NCI-H322M","NCI-H460","NCI-H522","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","RXF-393","SF-268","SF-295","SF-539","SK-MEL-28","SK-MEL-5","SK-OV-3","SN12C","SNB-19","SNB-75","SR","SW-620","T-47D","TK-10","U251","UACC-257","UACC-62","UO-31"
"asparagine",-0.243545976242434,0.0380849473169688,-0.0431998819484233,0.349365277594213,-0.306977753421391,0.416119115004295,-0.477944250839036,1.799087306074,-0.257850029974071,-1.18114943910457,0.398715193976911,0.655657128590604,1.04520995855992,0.959770155211467,-0.139765518339447,-2.13711885635907,-2.10780328953452,-0.587850780045983,-0.400364816565395,2.90900499815204,1.56445946777,0.313439359271037,1.43473941372139,0.149259365499623,-0.155748270881571,-0.128682019210431,2.62993940943954,1.81516551408758,-1.08212274246522,2.12928301694497,-2.15628409077293,-0.927779840592733,-1.11716134423275,-1.60969917904266,0.737542556797727,-1.51594782280598,-0.892535302631449,-0.883635243308215,-2.6408537016132,0.581752944245266,-0.788364746672851,-0.972374094022438,0.624490864907794,0.0328061450832415,1.5991590726418,1.59407075685154,-0.118726938570751,1.07564671879075,-2.09541956507868,-0.534634947162731,1.59120067293238,-0.771848309374867,0.599317793698226,-0.245254993272559,0.102098187618736,0.866842054999336,2.0580855535316,0.455228571117139
"aspartate",1.32883646422954,1.30480305578542,-0.368662855872519,0.368861453220011,-0.522150008316135,1.46571331959596,-2.44745897697122,0.417560009047555,-0.847708396396826,-0.314134585167492,3.07957722712765,1.73234156764076,0.877089818075277,-1.44483827681209,0.0917562433972769,-2.48196850739783,-2.56206209861108,-2.03111053254003,-0.105214566354931,1.03890436113154,3.23040798531262,0.203723209892378,3.14947616541601,1.32730412734529,0.95580874536808,0.24000896473507,2.5936724753591,-0.514573172829758,-0.799202726294145,2.01113778318899,-2.35353009227319,-1.19980760383681,-1.74661576419993,-1.64686493964706,0.396159489073155,-2.10573193951482,-0.101082246907052,0.0214797274104517,-1.10366355917359,-1.85030706724215,0.0148313514010857,-1.78256246060632,0.898917753092949,-0.85464861442738,2.79600931570247,2.94704269306941,0.550572369040033,-0.507035922036087,-2.78919555293876,-1.49817873457909,0.584321160394574,-0.128156351490682,0.793549122532573,0.36289064266586,-0.248679112856724,1.89452677025739,3.24752248956645,0.119466851355321
"beta-alanine",1.57595768745995,0.438292851579147,-2.11716134423275,0.0565835283663675,-1.78753441856884,2.06717977141551,-0.193744693118259,2.41178777812803,1.59534451924828,-2.21312488339074,2.39185935163953,0.746169421496046,-1.355989930961,1.14752379230879,-2.09953567355091,-3.608232280044,-3.608232280044,-3.19319478076516,-3.608232280044,2.19303575494751,0.174619472512399,-1.48331242462672,1.46797500658694,-0.784217876784379,-3.608232280044,-0.248107861595691,0.0247924614512874,0.12565110166152,-3.608232280044,0.415037499278844,-2.77595972578207,-2.13711885635907,-3.608232280044,-3.608232280044,-3.608232280044,-3.608232280044,-0.203125416815109,-3.608232280044,-3.608232280044,0.927264385792801,0.575312330687437,-3.608232280044,-3.608232280044,-3.608232280044,-0.330670814398938,-0.276951186168979,-3.608232280044,-3.608232280044,-3.608232280044,-3.608232280044,0.0849713349478045,0.303732048788387,-3.608232280044,-0.888968687611256,-1.15521264992094,-1.64385618977472,-0.0990205173087369,-2.03111053254003
"cholesterol",0.130052249189737,0.828834649468056,-1.05589120089205,0.589763486984977,0.439357178474257,0.400173566646853,-3.68656064072896,-0.114035243246029,-1.03701918943081,0.414676780426886,0.134878054343112,-0.121863233373052,-0.207005866911043,-2.24240775524384,-0.0624045078507195,-0.166502663140165,-0.0130430374755989,-0.478614181216009,-0.628162382669579,-1.46063436571895,0.138814468902282,-0.166502663140165,-0.361539950786219,0.927011481060645,-0.681152942142459,0.0854246562526777,0.389933863040851,-2.74661576419993,-0.11299471305964,-0.24297675349254,-0.415678839605426,-2.21312488339074,-0.0795796516588516,0.17802406415942,-0.555686318350524,0.0772429989324604,0.854128669631966,0.0468402542029724,-0.598005538196755,-1.83821978494342,0.667816450807028,0.0598167185417972,0.396159489073155,-1.01936532486693,0.449429314103199,0.512648295905266,0.571110460229411,0.750749409599306,0.124769258699535,0.429035645319843,-0.543018670750989,-2.82623293226329,-0.144541779964389,-0.320726349677609,0.154021453979356,0.142740172116082,0.306456686124923,0.226919495497512
"citric acid",-1.24810786159569,-1.31293931166011,-0.762436281682324,-1.46593839757888,-0.77431375293851,-1.08314123530025,-0.160040412510468,2.37035030272355,-0.128682019210431,-0.56846618082496,1.44696196307761,2.46719251611257,1.87394440612971,1.67596643923572,-0.504304837375931,-0.292769726819265,-1.09029088907361,0.882838655767251,-0.213682446698502,2.08723651839461,1.14274017211608,0.868950102922736,1.28234095303877,0.018634174139051,0.599952503361297,2.09929520433778,0.660228892343152,1.60644222813161,-0.819427754358179,0.180147861158429,0.200378797984026,0.0676387168753633,-0.672695872654707,-1.33764256574134,1.71530768291513,-0.901490607865929,-0.631883548108649,-0.149867349101059,-0.433753107836263,-0.020828257262919,-3.7178567712185,-2.21089678249862,0.715161223847858,-0.839940351683892,2.18216257654792,0.341796031265309,-0.200360043070401,-0.0568913361424207,-1.26650103555357,-0.326745111185138,2.86960823670583,0.484739665908911,-0.111954932804982,-0.110915901401851,-0.0484122051852459,1.54975130303364,2.67340566428042,-0.82197593584058
"creatinine",2.41701984241127,-0.0923401721467104,-0.83521372185666,0.223216583050315,-0.197599959885161,-0.793356776016605,-5.30281927193966,1.11924549423315,-2.69899774396719,0.277786425072374,3.42769555632277,0.610070064290304,1.43420564234912,-2.45271470242272,-1.82452862605104,-5.30281927193966,-2.44745897697122,-0.133949257777183,-2.41375567330301,3.39433120972457,1.92587286080879,-3.08722241211206,3.09603690645455,2.10377736729333,-0.0593947118198087,-0.0320936297098533,3.51429061738313,-0.717856771218502,-6.64385618977472,3.12851337433355,-3.34129341975429,-2.15200309344505,3.96381317911847,-0.000962117435383687,0.0487011961454758,-6.64385618977472,-0.617793893188529,0.67053823242723,-2.30519407912756,-0.238998470378284,2.15196702561818,-1.20756106993536,-1.03012810482696,-0.530461284538596,1.45619285159963,3.8011241579519,0.0487011961454758,-6.64385618977472,-0.454690546202297,-1.37956998773147,1.1609201881811,0.0831566239652757,3.21412480535285,-0.949904670995942,-1.00481701629778,2.95164995717084,3.24082312674364,-0.324334592594458
"cysteine",-2.43700461933405,-0.87699604594518,0.12366619645382,-0.198151554248939,-3.83650126771712,1.72683121703249,-3.83650126771712,-3.83650126771712,-3.83650126771712,-0.138176938578034,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.42146376843828,-3.83650126771712,-2.96203214980098,-0.56846618082496,-3.83650126771712,-3.83650126771712,-2.64686493964706,-3.83650126771712,-3.83650126771712,-3.83650126771712,-1.56064282152574,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-0.477944250839036,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,0.55581615506164,-3.83650126771712,-3.83650126771712,-0.655171503002559,-0.819427754358179,-3.83650126771712,-3.83650126771712,-0.729770092762002,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.28865194001306,-0.602379553798566,0.411426245726465,-3.83650126771712,-3.83650126771712,0.288850697637931,-3.83650126771712,-3.83650126771712,-3.83650126771712,-1.39592867633114
"D-allose",0.0538064436957938,-0.348776057010122,-0.0686951563493308,0.570139057404547,-0.362776193399044,1.66857301647589,-3.04692104738749,3.73288421300664,2.1586601753465,-0.468597744029372,1.17504548611091,1.22774107583913,0.671746266863223,-0.775136504623705,0.566896316005849,0.254594043033141,-3.45798964446339,-1.38709710936742,-1.64235416460949,-0.0330773972494314,4.48054518799177,0.0449769087183839,0.0926584917324306,0.175897136100751,1.22259850590803,0.26703633639129,0.284908905456556,-0.700559947737469,-0.0634091701760615,1.30859386858428,-1.42662547355406,-0.446803355491686,1.51517417056429,-1.11820488499498,1.42796367372311,-1.31952560467206,-0.850307067242151,-0.500898235932682,-1.35353009227319,-0.627419299964051,0.480954417357059,-2.30044836747691,1.37462220619121,-0.595096877854869,0.830796165801342,1.217644332921,2.26243315763135,-1.14666964914201,-1.23446525363702,0.0845178711562702,-0.239566125329888,1.71750278661125,0.824021028709582,-0.000962117435383687,-0.243545976242434,-0.648371670897218,-1.13394925777718,-0.740175150642096
"DL-cystathionine",0.272222305070044,-0.627047902088171,-0.879648059634778,-0.755518819354565,1.82361350692139,0.884402552983687,-2.69899774396719,-0.23220397568052,-0.308168095931897,-0.466602774768099,0.113255977503258,-0.488700647662753,0.148391839892671,0.835924074254375,-0.631138546779989,-2.69899774396719,-0.376445240915612,-0.564904848379903,-0.0694518807521452,0.0989584800881688,0.469538715461404,0.289637765328423,-0.0639117638201931,0.247725015718376,2.46927821498685,-0.327348370671615,4.29084213119537,0.911244165202328,-0.897006006676674,2.15153414134792,-0.920479660356474,-1.43570313522153,-0.139765518339447,-0.555686318350524,-0.0257154402592431,-0.520769438793664,-0.252111378649002,-0.308763635688914,0.470927257475127,-2.69899774396719,-0.896110756855276,-0.82197593584058,-0.761213140412883,-0.845978546020644,0.55647029020814,4.39791702242632,0.538041453333664,-0.761213140412883,0.176748283642187,0.861823061421966,-0.574182661967914,1.12145753858079,0.116808321657889,-1.08008791132269,0.520045024039818,0.0822484117597145,1.23368358210138,-0.681152942142459
"D-ribose",0.504535650117946,-0.162864086076817,-1.15040098884855,0.70781924850669,1.40635525617904,0.318847057857541,-2.85725982788392,-0.0183908600943956,-0.00144341686966872,0.0980601643425266,-0.348622961552783,-1.59509687785487,-0.946193556304206,-2.85725982788392,0.225274929869569,-2.85725982788392,-0.0897790228128215,-0.647618108570924,-2.85725982788392,-0.386468347082073,-1.38458370273713,-0.795859283219775,-0.808437349299244,2.34983703949008,-1.57920323143247,-2.85725982788392,-0.271716648933595,-1.66200353648498,0.0621217119077975,-1.0459277977504,-2.85725982788392,-2.85725982788392,-2.85725982788392,-1.21982990726863,0.0459088822914198,-2.85725982788392,0.477849991683865,-2.15842936260448,-0.995199013736179,-2.37332724739401,0.985014592603412,-1.34373246520571,0.0219534411040491,-0.130786607535354,1.50834413365074,0.408892978980943,1.79977808657123,-0.340684302143012,-2.85725982788392,-2.85725982788392,1.05102400302447,-2.85725982788392,0.625114598182053,-1.7115429972863,-1.18333203413642,1.49739946883632,0.144481506112507,-0.488700647662753
