,genesymbols
7898673,NA
7898675,NA
7898677, HS6ST1 
7898679, NBPF3 
7898693, ALPL 
7898707, LDLRAD2 
7898713, CELA3B 
7898721,NA
7898723,NA
7898725, CELA3A 
7898732,NA
7898734,NA
7898736, HSPC157 
7898739, CDC42 
7898750, ZBTB40 
7898773, EPHA8 
7898793, C1QA 
7898799, C1QC 
7898805, C1QB 
7898809, EPHB2 
7898833, KDM1A 
7898854,NA
7898856,NA
7898858, C1orf213 
7898869, MDS2 
7898875, RPL11 
7898881, TCEB3 
7898894, C1orf128 
7898902, LYPLA2 
7898910, PNRC2 
7898916, GRHL3 
7898939, NIPAL3 
7898957, RCAN3 
7898967, C1orf130 
7898975, SRRM1 
7898988, CLIC4 
7898998, RHD 
7899005, TMEM50A 
7899016, SDHD 
7899018, TMEM57 
7899023, LDLRAP1 
7899029, MAN1C1 
7899043, SEPN1 
7899057, FAM54B 
7899069,NA
7899071,NA
7899073,NA
7899075, EXTL1 
7899087, PDIK1L 
7899093, GRRP1 
7899096, ZNF593 
7899101, CNKSR1 
7899124, CATSPER4 
7899134, CCDC21 
7899151,NA
7899153, SH3BGRL3 
7899160, CD52 
7899167, LIN28A 
7899173, DHDDS 
7899187, HMGN2 
7899192, RPS6KA1 
7899220, ARID1A 
7899244, PIGV 
7899251,NA
7899253, ZDHHC18 
7899265, SFN 
7899273, NUDC 
7899284, TRNP1 
7899287,NA
7899289, WDTC1 
7899310, TMEM222 
7899323, SYTL1 
7899343, GPR3 
7899346, CCDC72 
7899348,NA
7899350, FAM76A 
7899361, STX12 
7899375,NA
7899377, PPP1R8 
7899392, SCARNA1 
7899394, C1orf38 
7899407, SMPDL3B 
7899417, XKR8 
7899422,NA
7899424, ATPIF1 
7899436, SESN2 
7899448, MED18 
7899455, PHACTR4 
7899462, RCC1 
7899480, SNORA73A 
7899484,NA
7899486, TRNAU1AP 
7899499, RAB42 
7899502, RNU11 
7899504, GMEB1 
7899517,NA
7899519, YTHDF2 
7899528, OPRD1 
7899534, EPB41 
7899560,NA
7899562, PTPRU 
7899595, MATN1 
7899600,NA
7899602, PRO0611 
7899604, ZCCHC17 
7899615, SERINC2 
7899627, TINAGL1 
7899643, HCRTR1 
7899654, KHDRBS1 
7899675, TMEM39B 
7899688, KPNA6 
7899703, TXLNA 
7899719, CCDC28B 
7899727, IQCC 
7899737, EIF3I 
7899750, FAM167B 
7899753, LCK 
7899774, HDAC1 
7899790, TSSK3 
7899795,NA
7899797, ZBTB8B 
7899811,NA
7899813, RBBP4 
7899821, KIAA1522 
7899829, S100PBP 
7899841, HPCA 
7899849,NA
7899851, ADC 
7899870, ZNF362 
7899882,NA
7899884, ZSCAN20 
7899898, HMGB4 
7899905, HMGB4 
7899909,NA
7899911, C1orf94 
7899921, GJB5 
7899927, GJB4 
7899932, GJB3 
7899939, GJA4 
7899943, ZMYM1 
7899955,NA
7899957, ZMYM4 
7899988,NA
7899990, NCDN 
7900001, TFAP2E 
7900009, EIF2C4 
7900030, EIF2C1 
7900051, EIF2C3 
7900076, TEKT2 
7900087, ADPRHL2 
7900095, MAP7D1 
7900119, THRAP3 
7900129, C1orf113 
7900144,NA
7900146, ZC3H12A 
7900157, RPS27 
7900159, DNALI1 
7900167, CDCA8 
7900181,NA
7900183, MANEAL 
7900192, C1orf122 
7900197,NA
7900201, UTP11L 
7900212,NA
7900214,NA
7900216, AKIRIN1 
7900228, NDUFS5 
7900235, MACF1 
7900336, MACF1 
7900340, BMP8A 
7900350,NA
7900352, OXCT2 
7900354, PPIE 
7900365, MFSD2A 
7900382, CAP1 
7900395, RLF 
7900405,NA
7900407,NA
7900409, TMCO2 
7900413, ZMPSTE24 
7900426, SMAP2 
7900438, ZNF643 
7900446, ZNF642 
7900454, DEM1 
7900461, ZNF684 
7900468, NFYC 
7900488, MIR30E 
7900490, MIR30C1 
7900492, KCNQ4 
7900508,NA
7900510, CTPS 
7900531, GUCA2B 
7900538,NA
7900540, RIMKLA 
7900546, PPCS 
7900555, CCDC30 
7900576, PPIH 
7900585, YBX1 
7900597, C1orf50 
7900603, C1orf50 
7900609, ERMAP 
7900624, ZNF691 
7900633,NA
7900635, FAM183A 
7900639, WDR65 
7900652,NA
7900654, TMEM125 
7900658, TIE1 
7900683, MPL 
7900699, CDC20 
7900710, KIAA0467 
7900792, PTPRF 
7900833, KDM4A 
7900857, ST3GAL3 
7900876,NA
7900878, ARTN 
7900888, IPO13 
7900911, DPH2 
7900922, ATP6V0B 
7900931, B4GALT2 
7900944, CCDC24 
7900957, KLF17 
7900962, DMAP1 
7900977,NA
7900979, RNF220 
7900999, C1orf228 
7901010, KIF2C 
7901036,NA
7901038, RPS8 
7901046, SNORD55 
7901048, SNORD46 
7901050, SNORD38A 
7901052, SNORD38B 
7901054, PLK3 
7901071,NA
7901073, UROD 
7901087, HPDL 
7901091, TOE1 
7901102, MMACHC 
7901110, AKR1A1 
7901123, NASP 
7901135, TMEM69 
7901140, MAST2 
7901175, TSPAN1 
7901187, C1orf190 
7901192, RAD54L 
7901212, UQCRH 
7901219, NSUN4 
7901227,NA
7901229, FAAH 
7901247, DMBX1 
7901253, C1orf223 
7901256, CYP4B1 
7901272, CYP4X1 
7901287, CYP4Z1 
7901293, CYP4A22 
7901299, CMPK1 
7901309, FOXE3 
7901311, FOXD2 
7901314,NA
7901316, SLC5A9 
7901334,NA
7901336, STRADB 
7901338,NA
7901340,NA
7901342, ELAVL4 
7901357,NA
7901359,NA
7901361,NA
7901363, CDKN2C 
7901374,NA
7901376, RNF11 
7901383,NA
7901385, OSBPL9 
7901416,NA
7901418, BTF3L4 
7901426, ZFYVE9 
7901443,NA
7901445,NA
7901447, PRPF38A 
7901460, GPX7 
7901466, FAM159A 
7901477,NA
7901479, ZYG11B 
7901495,NA
7901497, ZYG11A 
7901513, SCP2 
7901535, PODN 
7901549, CPT2 
7901557, DMRTB1 
7901563,NA
7901565, DIO1 
7901577, LRRC42 
7901592, C1orf83 
7901601, MRPL37 
7901611, C1orf191 
7901613, ACOT11 
7901634, C1orf175 
7901662, TTC4 
7901675, C1orf177 
7901687, TMEM61 
7901691, BSND 
7901696, PCSK9 
7901710,NA
7901712,NA
7901714,NA
7901720, PRKAA2 
7901732, C8A 
7901744,NA
7901746,NA
7901748, FGGY 
7901765, HOOK1 
7901788, NFIA 
7901802, MGC34796 
7901804, INADL 
7901852,NA
7901854,NA
7901856,NA
7901858,NA
7901860, L1TD1 
7901867, USP1 
7901883, ANGPTL3 
7901895, ATG4C 
7901911,NA
7901913, FOXD3 
7901915, ALG6 
7901931, EFCAB7 
7901948, DLEU2L 
7901951, PGM1 
7901967,NA
7901969, ROR1 
7901982, UBE2U 
7901993, CACHD1 
7902023, RAVER2 
7902036,NA
7902038, AK4 
7902043, DNAJC6 
7902072,NA
7902074, LEPR 
7902102,NA
7902104, PDE4B 
7902127, SGIP1 
7902158, TCTEX1D1 
7902166, MIER1 
7902189, IL23R 
7902203,NA
7902205, IL12RB2 
7902223,NA
7902225,NA
7902227, GADD45A 
7902235, LRRC7 
7902265,NA
7902267, PIN1P1 
7902269, SRSF11 
7902282, HHLA3 
7902290, CTH 
7902306,NA
7902308, FPGT 
7902317, TNNI3K 
7902345, TYW3 
7902353, LHX8 
7902365,NA
7902367, ACADM 
7902382, RABGGTB 
7902396, SNORD45C 
7902398, SNORD45A 
7902400, SNORD45B 
7902402, MSH4 
7902425, ST6GALNAC3 
7902435, TPI1 
7902439,NA
7902441, ST6GALNAC5 
7902448, RPL17 
7902452, AK5 
7902472,NA
7902474,NA
7902476, FAM73A 
7902493,NA
7902495, NEXN 
7902512, DNAJB4 
7902518, GIPC2 
7902527, PTGFR 
7902541, IFI44L 
7902553, IFI44 
7902563,NA
7902565, LPHN2 
7902592, ARID3B 
7902594, PRKACB 
7902611,NA
7902615,NA
7902617, SAMD13 
7902623, DNASE2B 
7902634, RPF1 
7902645, SPATA1 
7902660, WDR63 
7902685,NA
7902687, CYR61 
7902700,NA
7902702, CLCA2 
7902721, CLCA1 
7902738, CLCA4 
7902754, CLCA3P 
7902771, SH3GLB1 
7902787,NA
7902789, HS2ST1 
7902799, LOC339524 
7902808, LOC339524 
7902810, LMO4 
7902822, PKN2 
7902848,NA
7902850, GBP6 
7902861, LRRC8B 
7902874, LRRC8C 
7902883, LRRC8D 
7902891, ZNF326 
7902909,NA
7902911,NA
7902913, CDC7 
7902930, HSP90B3P 
7902934, BRDT 
7902957, EPHX4 
7902965, BTBD8 
7902977, KIAA1107 
7902984, C1orf146 
7902992, RPAP2 
7903008,NA
7903010, RPL5 
7903022, SNORD21 
7903024,NA
7903026,NA
7903028,NA
7903030,NA
7903032, MTF2 
7903049, CCDC18 
7903079, DR1 
7903090,NA
7903092, FNBP1L 
7903109,NA
7903111,NA
7903113,NA
7903115,NA
7903117,NA
7903119, ABCD3 
7903144, SLC44A3 
7903162, TMEM56 
7903171, RWDD3 
7903181,NA
7903183,NA
7903186,NA
7903188, PTBP2 
7903203, SNX7 
7903214, LPPR4 
7903227, PALMD 
7903239, AGL 
7903281, SLC35A3 
7903292,NA
7903294, HIAT1 
7903308, CCDC76 
7903321, RTCD1 
7903334, CDC14A 
7903355, GPR88 
7903358, VCAM1 
7903369, SLC30A7 
7903389,NA
7903391,NA
7903393, S1PR1 
7903399,NA
7903401, HEJ1 
7903404, RNPC3 
7903407, AMY2B 
7903414, AMY2A 
7903425, AMY1A 
7903440, AMY1A 
7903455,NA
7903457, PRMT6 
7903461, NTNG1 
7903474,NA
7903478, NBPF4 
7903490, NBPF6 
7903507, FAM102B 
7903519, PRPF38B 
7903530, FNDC7 
7903541, STXBP3 
7903561, LOC642864 
7903565, GPSM2 
7903582, RPL17 
7903586, TMEM167B 
7903592, KIAA1324 
7903619, SARS 
7903632, CELSR2 
7903667, SYPL2 
7903676, ATXN7L2 
7903688, CYB561D1 
7903694, GPR61 
7903703, GNAI3 
7903717, MIR197 
7903719, AMPD2 
7903742, GSTM4 
7903753, GSTM2 
7903765, GSTM1 
7903777, GSTM5 
7903786, CSF1 
7903803, AHCYL1 
7903827, FAM40A 
7903851, UBL4B 
7903854, SLC6A17 
7903867, KCNC4 
7903876,NA
7903878, RBM15 
7903884, PROK1 
7903889,NA
7903893, CD53 
7903906,NA
7903908, CEPT1 
7903920, CHI3L2 
7903935, LOC149620 
7903945, CHIA 
7903959, C1orf88 
7903970,NA
7903972, ATP5F1 
7903980, C1orf162 
7903988, RAP1A 
7904000, DDX20 
7904014,NA
7904016,NA
7904018, CTTNBP2NL 
7904025, WNT2B 
7904036, CAPZA1 
7904048,NA
7904050, MOV10 
7904073, FAM19A3 
7904082, LOC128322 
7904084, AKR7A2P1 
7904086, LRIG2 
7904106, MAGI3 
7904131, DCLRE1B 
7904137, HIPK1 
7904158, OLFML3 
7904164,NA
7904166,NA
7904168, SYCP1 
7904203, TSHB 
7904209,NA
7904211, VANGL1 
7904226, SLC22A15 
7904244, C1orf161 
7904252,NA
7904254, ATP1A1 
7904281, C1orf137 
7904287, CD2 
7904293, PTGFRN 
7904303, CD101 
7904314, TTF2 
7904340, MAN1A2 
7904361, FAM46C 
7904364, WDR3 
7904394,NA
7904396, HAO2 
7904408, HSD3B2 
7904414, HSD3B1 
7904417,NA
7904421, HSD3B1 
7904429, HSD3BP4 
7904431,NA
7904433, PHGDH 
7904448,NA
7904450,NA
7904452, FAM72D 
7904463,NA
7904465, HIST2H2BA 
7904469, SRGAP2 
7904478, LOC51152 
7904480,NA
7904482, SRGAP2P2 
7904486, NBPF9 
7904500, NBPF1 
7904506, NBPF10 
7904562, NBPF14 
7904569, NBPF14 
7904572,NA
7904574, NBPF16 
7904691,NA
7904693,NA
7904695, SEC22B 
7904702, NOTCH2NL 
7904713,NA
7904715,NA
7904717, HFE2 
7904726, TXNIP 
7904737, ANKRD34A 
7904742, LIX1L 
7904751, RBM8A 
7904755, PEX11B 
7904761, ITGA10 
7904796, ANKRD35 
7904812, PIAS3 
7904830, RNF115 
7904843, PDZK1 
7904853, GPR89A 
7904863,NA
7904865,NA
7904867,NA
7904869, FAM108A1 
7904872,NA
7904874, NBPF11 
7904877,NA
7904879,NA
7904881, PDIA3P 
7904883, CHD1L 
7904907, BCL9 
7904921,NA
7904923,NA
7904927, GJA8 
7904930, GPR89B 
7904946,NA
7904948, FAM108A1 
7904951,NA
7904953,NA
7904955,NA
7904959,NA
7904963,NA
7904965, PDE4DIP 
7904967,NA
7904969, VOPP1 
7904974, C1orf152 
7904976, NBPF15 
7904997, PPIAL4A 
7904999, NBPF16 
7905016, PPIAL4A 
7905018, FLJ37786 
7905020, DRD5 
7905025, DRD5 
7905028, LOC645166 
7905033,NA
7905035,NA
7905037,NA
7905039,NA
7905043, LOC388692 
7905047, FCGR1A 
7905051, PPIAL4A 
7905054,NA
7905058, LOC388692 
7905060, FCGR1A 
7905067, HIST2H4A 
7905077,NA
7905079, HIST2H2AA3 
7905085, HIST2H3A 
7905088, HIST2H2AC 
7905092, BOLA1 
7905099, VPS45 
7905116, PLEKHO1 
7905127,NA
7905129,NA
7905131, CA14 
7905145,NA
7905147, C1orf54 
7905154, C1orf51 
7905163, MRPS21 
7905171, PRPF3 
7905185, RPRD2 
7905198, TARS2 
7905220, ECM1 
7905233, ADAMTSL4 
7905254,NA
7905256,NA
7905258, SETDB1 
7905283, ANXA9 
7905299, PRUNE 
7905308, BNIPL 
7905324, C1orf56 
7905329, MLLT11 
7905339, GABPB2 
7905349, TNFAIP8L2 
7905355, SCNM1 
7905365, PIP5K1A 
7905374, PSMD4 
7905382, ZNF687 
7905395, PSMB4 
7905406, CGN 
7905428, TUFT1 
7905444, SNX27 
7905462,NA
7905464, C1orf230 
7905474, OAZ3 
7905481,NA
7905483, LCE5A 
7905486, CRCT1 
7905490, LCE3C 
7905492, LCE3B 
7905496, C1orf46 
7905500, LCE2D 
7905503, LCE2C 
7905505, LCE2B 
7905507, LCE2A 
7905510, LCE4A 
7905512, C1orf68 
7905515, KPRP 
7905517, LCE1F 
7905519, LCE1E 
7905523, LCE1D 
7905525, LCE1B 
7905528, LCE1A 
7905530, SMCP 
7905533, IVL 
7905536, SPRR4 
7905544, SPRR1A 
7905548, SPRR3 
7905553, SPRR1B 
7905559, LELP1 
7905563, LOR 
7905569,NA
7905571, S100A9 
7905576, S100A7A 
7905581, S100A1 
7905589, C1orf77 
7905598, SNAPIN 
7905606, NPR1 
7905629,NA
7905631, INTS3 
7905664, SLC27A3 
7905677, CREB3L4 
7905691, RPS27 
7905698,NA
7905700, UBAP2L 
7905731,NA
7905733, HAX1 
7905742,NA
7905744,NA
7905746, AQP10 
7905754, ATP8B2 
7905789, IL6R 
7905801, TDRD10 
7905817, CHRNB2 
7905826, CKS1B 
7905831, FLAD1 
7905848, LENEP 
7905854, ZBTB7B 
7905862, DCST1 
7905881, ADAM15 
7905909, EFNA4 
7905918, EFNA3 
7905927,NA
7905929, EFNA1 
7905938, RAG1AP1 
7905949,NA
7905951, TRIM46 
7905968, MTX1 
7905974, HCN3 
7905986, FDPS 
7905999, RUSC1 
7906015,NA
7906017, POU5F1P4 
7906021, MSTO1 
7906041, DAP3 
7906056, MSTO2P 
7906061, SYT11 
7906069, RXFP4 
7906072, ROBLD3 
7906079, RAB25 
7906085, LMNA 
7906107, SEMA4A 
7906128, SLC25A44 
7906133, PMF1 
7906140, BGLAP 
7906146, TMEM79 
7906154, C1orf182 
7906163, RHBG 
7906175,NA
7906177, TTC24 
7906185, APOA1BP 
7906194, GPATCH4 
7906197, HAPLN2 
7906205, BCAN 
7906223, C1orf66 
7906233,NA
7906235, PRCC 
7906244, NTRK1 
7906264, PEAR1 
7906284, C1orf92 
7906303,NA
7906305,NA
7906307, KIRREL 
7906330, CD1D 
7906339, CD1A 
7906348, CD1C 
7906355, CD1E 
7906365, OR10K1 
7906367, OR10R2 
7906370, OR10R3P 
7906372, OR10Z1 
7906374, OR6K6 
7906377, MNDA 
7906386, PYHIN1 
7906400, IFI16 
7906417, CADM3 
7906433,NA
7906435, DARC 
7906443, FCER1A 
7906452, OR10J1 
7906458, APCS 
7906465,NA
7906467,NA
7906469, DUSP23 
7906475, FCRL6 
7906486, SLAMF8 
7906496, KCNJ9 
7906501, ATP1A2 
7906527, ATP1A4 
7906552, CASQ1 
7906564, PEA15 
7906574, SUMO1P3 
7906576, NCSTN 
7906597, NHLH1 
7906602, VANGL2 
7906613, SLAMF7 
7906622, LY9 
7906642, KLHDC9 
7906652, NIT1 
7906662, UFC1 
7906671, USP21 
7906688, PPOX 
7906703, NDUFS2 
7906720, FCER1G 
7906728, TOMM40L 
7906742, PCP4L1 
7906746, SDHC 
7906751,NA
7906753,NA
7906757, FCGR2A 
7906764, HSPA6 
7906767, FCGR2C 
7906775, HSPA7 
7906777, FCGR2B 
7906784,NA
7906786, FCRLA 
7906797, FCRLB 
7906808,NA
7906810, DUSP12 
7906819, ATF6 
7906838, NOS1AP 
7906852, UHMK1 
7906863, UAP1 
7906878, DDR2 
7906898,NA
7906900, DDR2 
7906904, HSD17B7 
7906919, RGS4 
7906930, NUF2 
7906948,NA
7906950,NA
7906952,NA
7906954, PBX1 
7906969,NA
7906973, LRRC52 
7906978, MGST3 
7906988, ALDH9A1 
7906993,NA
7906995, UCK2 
7907008,NA
7907010,NA
7907012, FMO9P 
7907024, POGK 
7907032, MAEL 
7907049,NA
7907051,NA
7907053, DUSP27 
7907058, POU2F1 
7907079, RCSD1 
7907090, LOC100128751 
7907092, MPZL1 
7907104, DCAF6 
7907124, TIPRL 
7907135, SFT2D2 
7907146, TBX19 
7907156, XCL1 
7907160, ATP1B1 
7907171, BLZF1 
7907183, SCYL3 
7907211,NA
7907213, GORAB 
7907222, PRRX1 
7907232, C1orf129 
7907249, FMO3 
7907260, FMO6P 
7907271, FMO2 
7907286, FMO1 
7907297, FMO4 
7907308,NA
7907310, BAT2L2 
7907349,NA
7907351,NA
7907353, METTL13 
7907368,NA
7907370, DNM3 
7907394,NA
7907396, C1orf105 
7907404, C1orf9 
7907430, FASLG 
7907439, PRDX6 
7907445, KLHL20 
7907462,NA
7907464,NA
7907466, DARS2 
7907486, ZBTB37 
7907492, RABGAP1L 
7907531, GPR52 
7907535,NA
7907537, CACYBP 
7907549, TNN 
7907568,NA
7907572, PAPPA2 
7907601, FAM5B 
7907611, RASAL2 
7907633, C1orf49 
7907649, C1orf220 
7907655,NA
7907657, RALGPS2 
7907680, FAM20B 
7907690, TOR3A 
7907700,NA
7907702, SOAT1 
7907719, C1orf125 
7907747,NA
7907749, TDRD5 
7907769, FAM163A 
7907773, TOR1AIP1 
7907788,NA
7907790, CEP350 
7907830, QSOX1 
7907847,NA
7907849, LHX4 
7907859,NA
7907861, XPR1 
7907882, KIAA1614 
7907893, MR1 
7907904, IER5 
7907907, LOC100287948 
7907911, CACNA1E 
7907960,NA
7907962,NA
7907964,NA
7907966,NA
7907968,NA
7907970,NA
7907972, NCRNA00272 
7907977, RGSL1 
7907986, RGSL1 
7908003, NPL 
7908022, DHX9 
7908041, LAMC1 
7908072, LAMC2 
7908097, SMG7 
7908125, RGL1 
7908147, TSEN15 
7908155,NA
7908157,NA
7908159,NA
7908161, C1orf21 
7908169, RNF2 
7908178, C1orf26 
7908204, HMCN1 
7908312, PRG4 
7908328,NA
7908330, C1orf27 
7908347, OCLM 
7908351, PLA2G4A 
7908371, C1orf99 
7908376, RGS18 
7908382, RGS21 
7908388, RGS1 
7908397, RGS13 
7908407, RPS27A 
7908409, RGS2 
7908421, TROVE2 
7908437, CDC73 
7908459, CFH 
7908481, CFHR3 
7908488, CFHR1 
7908492, CFHR4 
7908496, CFHR2 
7908499, CFHR5 
7908508, CRB1 
7908525, C1orf53 
7908529, LHX9 
7908543, NEK7 
7908553, PTPRC 
7908591,NA
7908593,NA
7908595,NA
7908597, NR5A2 
7908610,NA
7908612, FAM58B 
7908614, CAMSAP1L1 
7908635,NA
7908637, GPR25 
7908639, C1orf106 
7908650, IGFN1 
7908672, PKP1 
7908692, RPS10P7 
7908694, NAV1 
7908728,NA
7908730,NA
7908732, IPO9 
7908758, SHISA4 
7908766, TIMM17A 
7908775,NA
7908777,NA
7908779, RNPEP 
7908793, ELF3 
7908812, GPR37L1 
7908816, LGR6 
7908839,NA
7908841, PPP1R12B 
7908861, OCR1 
7908863,NA
7908867, TMEM183A 
7908879, PPFIA4 
7908907, ADORA1 
7908917, BTG2 
7908924, PRELP 
7908931, OPTC 
7908940, ATP2B4 
7908966, NCRNA00260 
7908968, LAX1 
7908978, ZC3H11A 
7908988, SNRPE 
7908993, SOX13 
7909011, MDM4 
7909027, NFASC 
7909064, CNTN2 
7909088, TMCC2 
7909102,NA
7909104, CDK18 
7909125,NA
7909127, MFSD4 
7909140,NA
7909142, NUCKS1 
7909144, LOC284581 
7909146, FAM72D 
7909155, AVPR1B 
7909164, CTSE 
7909175, SRGAP2 
7909188, IKBKE 
7909214, RASSF5 
7909225, DYRK3 
7909236, MAPKAPK2 
7909250, IL19 
7909261, IL20 
7909271, IL24 
7909283,NA
7909285, PFKFB2 
7909306, C4BPB 
7909318, C4BPA 
7909332, CD55 
7909350, CR2 
7909371, CR1 
7909390, CR1L 
7909400, CD46 
7909418, LOC148696 
7909422, MIR205 
7909425, CAMK1G 
7909441, G0S2 
7909446, HSD11B1 
7909455, TRAF3IP3 
7909478, C1orf107 
7909494, SYT14 
7909503, SERTAD4 
7909510, HHAT 
7909525,NA
7909527,NA
7909529, RCOR3 
7909545, TRAF5 
7909561, C1orf97 
7909568, DTL 
7909586, PPP2R5A 
7909601, SNORA16B 
7909603, NENF 
7909610, ATF3 
7909624, FAM71A 
7909626,NA
7909628, FLVCR1 
7909642, VASH2 
7909661, RPS6KC1 
7909681, PROX1 
7909689, SMYD2 
7909708, CENPF 
7909730, KCNK2 
7909745, KCTD3 
7909768, SPATA17 
7909780,NA
7909782, RRP15 
7909789, TGFB2 
7909801, LYPLAL1 
7909811,NA
7909813,NA
7909815, IARS2 
7909839,NA
7909841, MARK1 
7909862, C1orf115 
7909866, MOSC2 
7909877, MOSC1 
7909888,NA
7909890, HLX 
7909896,NA
7909898, MIA3 
7909931, C1orf58 
7909946, FAM177B 
7909954, DISP1 
7909965, C1orf65 
7909967, CAPN2 
7909990, LOC100287934 
7909992, FBXO28 
7909999,NA
7910001, DEGS1 
7910010,NA
7910012,NA
7910014, CNIH4 
7910022, CNIH3 
7910030, DNAH14 
7910047, DNAH14 
7910054, DNAH14 
7910096, LBR 
7910099, SRP9 
7910111, EPHX1 
7910124, H3F3A 
7910134, MIXL1 
7910138,NA
7910140,NA
7910142, C1orf95 
7910146, PSEN2 
7910164, ADCK3 
7910184, BTF3P9 
7910186,NA
7910188,NA
7910190, ZNF678 
7910198, ZNF678 
7910200, SNAP47 
7910211, PRSS38 
7910217, WNT3A 
7910229, ARF1 
7910241, GUK1 
7910257, GJC2 
7910261, C1orf69 
7910265, OBSCN 
7910369, HIST3H2BB 
7910372, RNF187 
7910377,NA
7910379, DUSP5P 
7910381, DUSP5P 
7910383,NA
7910385,NA
7910387, RHOU 
7910396, TMEM78 
7910398, RAB4A 
7910414,NA
7910416, URB2 
7910427, GALNT2 
7910446, COG2 
7910466, CAPN9 
7910490,NA
7910492,NA
7910494, ARV1 
7910503, TRIM67 
7910520, GNPAT 
7910539, C1orf124 
7910550, TSNAX 
7910559, DISC1 
7910583,NA
7910585,NA
7910587,NA
7910589, KIAA1383 
7910591, C1orf57 
7910600, KIAA1804 
7910611, KCNK1 
7910618, SLC35F3 
7910630, C1orf31 
7910634,NA
7910636,NA
7910638,NA
7910640, GGPS1 
7910651, TBCE 
7910672,NA
7910674,NA
7910676,NA
7910680, GPR137B 
7910692,NA
7910694, EDARADD 
7910706, LGALS8 
7910727, ACTN2 
7910752, MTR 
7910790,NA
7910792, RYR2 
7910897,NA
7910899,NA
7910901, LOC100130331 
7910903,NA
7910905,NA
7910907,NA
7910909,NA
7910911,NA
7910913,NA
7910915, CHRM3 
7910923, FMN2 
7910944,NA
7910946,NA
7910948,NA
7910950, KMO 
7910971, WDR64 
7910997, EXO1 
7911017, SDCCAG8 
7911038, ZNF238 
7911045, LOC440742 
7911047,NA
7911049, C1orf100 
7911056, C1orf101 
7911078, PPPDE1 
7911085, FAM36A 
7911092,NA
7911094,NA
7911096, EFCAB2 
7911108,NA
7911110,NA
7911112, EFCAB2 
7911114, KIF26B 
7911136,NA
7911138, CNST 
7911155, SCCPDH 
7911170, LOC149134 
7911174, VN1R5 
7911176,NA
7911178, NLRP3 
7911197, OR2W5 
7911199, C1orf150 
7911207, OR2G2 
7911209, OR2G3 
7911211,NA
7911213,NA
7911215, OR9H1P 
7911218, TRIM58 
7911229, OR2W3 
7911231, OR2W3 
7911233, OR2T8 
7911235, OR2AJ1 
7911237, OR2L13 
7911241, OR2L8 
7911243, OR2AK2 
7911248, OR2L5 
7911252, OR2L2 
7911258, OR2L3 
7911260, OR2M1P 
7911263, OR2M5 
7911265, OR2M2 
7911267, OR2M3 
7911269, OR2M4 
7911271, OR14C36 
7911273, OR2T4 
7911276, OR2T6 
7911278, OR2T1 
7911281, OR2T2 
7911283, OR2T3 
7911285, OR2T5 
7911287, OR2G6 
7911289, ZNF672 
7911301, PGBD2 
7911307, RPL23AP82 
7911309, WASH7P 
7911323, FAM138A 
7911329, SEPT14 
7911331,NA
7911333, FLJ43681 
7911335,NA
7911337,NA
7911339,NA
7911341,NA
7911343, UIMC1 
7911345, OR4F16 
7911347, SEPT14 
7911349,NA
7911351, NCRNA00115 
7911355, TUBB8 
7911359, NOC2L 
7911371, C1orf170 
7911376, HES4 
7911383, C1orf159 
7911403, TNFRSF18 
7911413, TNFRSF4 
7911422, SDF4 
7911435, FAM132A 
7911444, UBE2J2 
7911458, ACAP3 
7911486, CPSF3L 
7911506, DVL1 
7911529, MXRA8 
7911532, AURKAIP1 
7911539, CCNL2 
7911559, MRPL20 
7911566,NA
7911568, SSU72 
7911578, CDK11A 
7911591, SLC35E2B 
7911600, NADK 
7911619, GNB1 
7911634, TMEM52 
7911643, C1orf222 
7911657, LOC728690 
7911659, KIAA1751 
7911676,NA
7911681,NA
7911683, C1orf86 
7911699,NA
7911701, MORN1 
7911718, LOC100129534 
7911720, PEX10 
7911730, PANK4 
7911750, HES5 
7911754, TNFRSF14 
7911767, MMEL1 
7911793, FLJ42875 
7911796, FLJ42875 
7911799, MEGF6 
7911839, WDR8 
7911854, KIAA0495 
7911862, LRRC47 
7911870, KIAA0562 
7911897, C1orf174 
7911902, NPHP4 
7911941, CHD5 
7911989, RPL22 
7911993, ICMT 
7912004, GPR153 
7912012, ACOT7 
7912031, HES2 
7912040, TNFRSF25 
7912056, PLEKHG5 
7912086, NOL9 
7912102, KLHL21 
7912112, DNAJC11 
7912133, LOC100129476 
7912136, UTS2 
7912145, TNFRSF9 
7912155,NA
7912157, ERRFI1 
7912162,NA
7912164,NA
7912166, RERE 
7912194,NA
7912196,NA
7912198, ENO1 
7912207,NA
7912209,NA
7912211, SLC2A7 
7912224, SLC2A5 
7912239, GPR157 
7912248, MIR34A 
7912250, MIR34A 
7912252,NA
7912254, C1orf200 
7912257, CLSTN1 
7912280, FLJ16126 
7912283, CTNNBIP1 
7912292, LZIC 
7912303, DFFA 
7912316, CASZ1 
7912343, CASZ1 
7912347, CASZ1 
7912349, C1orf127 
7912361, MASP2 
7912374, SRM 
7912385, EXOSC10 
7912412, MTOR 
7912473, FBXO2 
7912481, MAD2L2 
7912496, MTHFR 
7912511, KIAA2013 
7912515, NPPA 
7912520, NPPB 
7912525,NA
7912527,NA
7912529,NA
7912531,NA
7912535,NA
7912537, DHRS3 
7912547, PRAMEF11 
7912552, HNRNPCL1 
