"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"asparagine",-0.306977753421391,-0.477944250839036,-0.257850029974071,0.959770155211467,-2.10780328953452,-0.400364816565395,2.90900499815204,-0.155748270881571,-0.128682019210431,1.81516551408758,-1.60969917904266,0.737542556797727,-1.51594782280598,-0.892535302631449,-0.883635243308215,-2.6408537016132,0.581752944245266,-0.118726938570751,1.59120067293238,0.599317793698226
"aspartate",-0.522150008316135,-2.44745897697122,-0.847708396396826,-1.44483827681209,-2.56206209861108,-0.105214566354931,1.03890436113154,0.95580874536808,0.24000896473507,-0.514573172829758,-1.64686493964706,0.396159489073155,-2.10573193951482,-0.101082246907052,0.0214797274104517,-1.10366355917359,-1.85030706724215,0.550572369040033,0.584321160394574,0.793549122532573
"beta-alanine",-1.78753441856884,-0.193744693118259,1.59534451924828,1.14752379230879,-3.608232280044,-3.608232280044,2.19303575494751,-3.608232280044,-0.248107861595691,0.12565110166152,-3.608232280044,-3.608232280044,-3.608232280044,-0.203125416815109,-3.608232280044,-3.608232280044,0.927264385792801,-3.608232280044,0.0849713349478045,-3.608232280044
"cholesterol",0.439357178474257,-3.68656064072896,-1.03701918943081,-2.24240775524384,-0.0130430374755989,-0.628162382669579,-1.46063436571895,-0.681152942142459,0.0854246562526777,-2.74661576419993,0.17802406415942,-0.555686318350524,0.0772429989324604,0.854128669631966,0.0468402542029724,-0.598005538196755,-1.83821978494342,0.571110460229411,-0.543018670750989,-0.144541779964389
"citric acid",-0.77431375293851,-0.160040412510468,-0.128682019210431,1.67596643923572,-1.09029088907361,-0.213682446698502,2.08723651839461,0.599952503361297,2.09929520433778,1.60644222813161,-1.33764256574134,1.71530768291513,-0.901490607865929,-0.631883548108649,-0.149867349101059,-0.433753107836263,-0.020828257262919,-0.200360043070401,2.86960823670583,-0.111954932804982
"creatinine",-0.197599959885161,-5.30281927193966,-2.69899774396719,-2.45271470242272,-2.44745897697122,-2.41375567330301,3.39433120972457,-0.0593947118198087,-0.0320936297098533,-0.717856771218502,-0.000962117435383687,0.0487011961454758,-6.64385618977472,-0.617793893188529,0.67053823242723,-2.30519407912756,-0.238998470378284,0.0487011961454758,1.1609201881811,3.21412480535285
"cysteine",-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,-0.56846618082496,-3.83650126771712,-3.83650126771712,-1.56064282152574,-3.83650126771712,-3.83650126771712,-3.83650126771712,-3.83650126771712,0.55581615506164,-3.83650126771712,-3.83650126771712,-0.655171503002559,-3.83650126771712,0.411426245726465,-3.83650126771712
"D-allose",-0.362776193399044,-3.04692104738749,2.1586601753465,-0.775136504623705,-3.45798964446339,-1.64235416460949,-0.0330773972494314,1.22259850590803,0.26703633639129,-0.700559947737469,-1.11820488499498,1.42796367372311,-1.31952560467206,-0.850307067242151,-0.500898235932682,-1.35353009227319,-0.627419299964051,2.26243315763135,-0.239566125329888,0.824021028709582
"DL-cystathionine",1.82361350692139,-2.69899774396719,-0.308168095931897,0.835924074254375,-0.376445240915612,-0.0694518807521452,0.0989584800881688,2.46927821498685,-0.327348370671615,0.911244165202328,-0.555686318350524,-0.0257154402592431,-0.520769438793664,-0.252111378649002,-0.308763635688914,0.470927257475127,-2.69899774396719,0.538041453333664,-0.574182661967914,0.116808321657889
"D-ribose",1.40635525617904,-2.85725982788392,-0.00144341686966872,-2.85725982788392,-0.0897790228128215,-2.85725982788392,-0.386468347082073,-1.57920323143247,-2.85725982788392,-1.66200353648498,-1.21982990726863,0.0459088822914198,-2.85725982788392,0.477849991683865,-2.15842936260448,-0.995199013736179,-2.37332724739401,1.79977808657123,1.05102400302447,0.625114598182053
"fumaric acid",0.0813396274519388,-1,-0.248679112856724,-1.188803011648,-0.848574100017696,0.36513259345253,1.16005964831611,0.752748591407134,0.425101182623541,-0.529072742524873,-1.20756106993536,0.76779602431948,-0.514573172829758,-0.640104054913617,-0.156820109742826,-0.355374577980504,-0.528378972354789,-0.319525604672058,1.51735969047553,1.78687511660926
"glucose-6-phosphate",1.47612241988015,-0.218150727594029,1.43545080182303,-2.71469643032517,2.14904253299889,0.269432177031944,-0.915935735211525,0.419359105228937,-1.83307036231685,-1.11611855774652,1.4511891277404,1.63381866706291,0.271027196587325,-0.45205668870965,-1.39087544860485,-0.663526169914858,-1.73056782296806,5.2858583836307,-0.928694965926867,3.6203518068184
"glutamic acid",-0.24297675349254,0.22156778853841,-1.49682090385214,-0.865121945656888,-1.68656064072896,0.327687364176047,1.93193514425962,-0.442222328605074,-0.302819271939658,0.916094422938358,-1.8059129478837,-1.21312488339074,-3.22431729826094,1.00528020734143,-1.12238661267895,-2.81942775435818,-0.524223342863477,-0.153072152434976,2.84726201360568,1.0849713349478
"glutamine",-0.608965543104713,-3.66200353648498,0.0412429822318813,-2.99232607211458,-3.66200353648498,-0.0434476612604774,1.38919966707544,0.974284559740757,-1.0862010350493,1.18966644665005,-2.10573193951482,0.228562188576654,-1.27928375747887,-0.0985055449524252,-0.218710237021592,-1.75795649108218,-1.46593839757888,0.0337460115926314,0.33151414371656,1.79659775404831
"glyceraldehyde",0.486456955768731,-4.44222232860507,-0.0709665213541436,-4.44222232860507,-0.00723156923107586,-1.94341647163363,-4.44222232860507,-0.208672117384105,-1.20534153866545,-4.44222232860507,-1.52837897235479,0.195347598322219,-0.117683020261174,1.41124544554565,-1.24810786159569,-0.0719771659074797,-4.44222232860507,2.91092449689301,-3.32192809488736,0.772589503896927
"glyceric acid",-0.0179038744219608,-2.92139016530363,-0.835642776147076,-2.92139016530363,-1.05689133614242,-2.29571821556451,-2.92139016530363,-0.0494071673218463,-2.92139016530363,-2.92139016530363,-1.11299471305964,-0.0654205961427196,-2.50908763374603,1.32423456227053,-1.76774857646283,-0.606766871039504,-2.92139016530363,1.40889297898094,-2.92139016530363,0.635986503745623
"glycerol",0.170779678624233,-1.49005085369569,0.118138198883004,-1.33521378563759,-0.367731784500487,-0.138176938578034,-0.578484936649951,-0.598005538196755,0.0487011961454758,-0.959224438812508,0.110585967411944,-0.0831412353002459,-0.0429521451845469,0.150559676575381,0.139251186036202,0.0318656658837763,-1.33157826492108,0.135753741799975,-0.526299661342596,0.0904018120279894
"glycine",-0.375197234747053,-2.32915966411844,-0.351074440546879,-2.27229732716276,-1.80759539127074,-0.0699565842874268,0.849599011151452,-1.43050890804128,-0.250394225055023,0.683172423203734,-1.70212384495391,0.162639729553787,-2.62890584830875,0.590082985389758,-0.928694965926867,-2.25153876699596,-0.143479021138511,-0.936036941268035,1.36251664524552,0.554179518424533
"gulono-1,4-lactone",-0.224879204807825,-3.96578428466209,-1.38709710936742,-5.01158797427521,-1.02914634565952,1.14990966753492,1.36494589723216,0.168214126600967,-5.01158797427521,-5.01158797427521,-5.01158797427521,0.623242588783291,0.286092574365473,-1.39846194307666,-5.01158797427521,-3.1456053222469,-5.01158797427521,0.855723983146041,-2.21982990726863,-1.38583985870756
"histidine",-0.289239476181188,-4.68038206579984,0.172487515510134,-2.8712666858778,-1.34251242704345,-0.763660460831626,0.325386414659773,-0.742587012514868,-0.703689439291908,-1.73216460790239,-1.65290132937773,0.979903394366771,-2.01936532486693,-1.25268421766423,-0.462621093195037,-1.83821978494342,-2.15842936260448,0.337996463515016,0.532732541948598,-0.172993990361023
"hypotaurine",-3.62593428177746,-1.60092007462413,-0.442875871103629,0.716039755311658,-3.62593428177746,-3.62593428177746,3.69977370518433,-1.59655047499637,-0.145605322246899,-0.552156355637915,-3.62593428177746,-3.62593428177746,-3.62593428177746,0.199122642013601,-3.18442457113743,-3.62593428177746,0.266236837872138,-3.62593428177746,-0.020828257262919,-1
"inositol 1-phosphate",0.116364756691785,-3.96578428466209,0.15704371014558,-2.92139016530363,-0.395296054071106,-0.629649697276451,-1.02229267461845,-0.192095584490356,0.181844650581765,-3.56206209861108,0.258619422432834,0.756738663206233,0.461179280923565,0.454877763810635,-0.0938790470029003,-1.08518038057384,-1.88718868116597,1.34255474547732,-0.00965017003371937,-0.190448358765197
"isoleucine",0.063042679089337,-1.13923579737117,-0.0954195650786826,-0.641603738043346,-1.33278908751913,-0.785046297732142,1.15099285329111,-0.162191281400682,0.00671691621458065,-0.318925606725839,-1.01936532486693,0.150992853291108,-1.52976684647903,-0.415678839605426,-0.552156355637915,-1.92686529536978,-0.827939254213697,0.154453592679872,1.2906209964991,-0.113514884343765
"lactate",-0.222071858055296,-0.777607578663552,0.267835392097615,-2.13078660753535,-2.24240775524384,-0.475936324222789,1.0191088229477,-0.236730081481885,0.376290383337052,-1.76611193982572,-2.08926733809709,0.311890572175551,-3.10780328953451,0.449957483628004,-1.00288827932483,-1.91956972967926,-1.42017622257782,1.94035471153329,0.971834745871587,0.557777671394926
"L-allo-threonine",-0.582800079570536,-1.77102743023984,0.212465581431157,-1.32553934843974,-0.612637459164004,-0.46926334728957,-0.0203404482841755,0.0685561700324434,-0.840801405150746,0.184386098756703,-1.15842936260448,0.476813696865534,-1.19980760383681,-1.03209362970985,-0.174078723525576,-1.99615793370561,-1.03012810482696,-0.10573193951482,-0.223194141302003,0.38404980679516
