"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"DENND4B",7.20750255687009,8.03177016928849,7.43379414219593,7.95768254419791,7.39059899152952,7.00337747264932,8.25833051972853,8.4450148872657,6.96809086727648,8.00562460532987,7.27052903581951,6.99887256679294,8.35931036082147,7.03782157522911,7.04657847575006,7.20847833975701,7.75421949995751,7.40939102100211,8.76221594895429,7.3291236860114
"FPGS",8.18636194077908,8.3394047024492,7.80542151066416,8.16842146099774,7.47816297365154,7.87528865966626,7.72451392133248,7.75087450663433,8.28725068943564,8.19623331005797,8.48784007400954,7.72723984556857,7.78463491098587,7.33895926452546,8.31650786435703,8.55688922803528,8.25455629914901,8.76055366624056,7.54843670176308,7.61397366102469
"CEBPZ",6.69627222304785,8.2026136691198,7.60510914793129,8.29920806418712,7.58721502747568,8.21431916937636,7.44873588061068,7.34340791113371,7.28447721035019,7.76950735755426,7.6955763758166,7.94602904801892,7.68790059244656,7.79246502505414,7.37764444515246,6.55305340640805,7.93957927308027,7.42038142541701,7.19475695289972,6.67666247588387
"TBC1D4",6.80735505086966,7.86294730999236,7.01903478059757,7.70804932069767,6.75488763574634,5.2555011108172,6.21723091013128,7.50700181207666,6.87405932613305,7.18189774246755,7.67525145663221,6.43128882146366,5.36807022585287,6.30924914274536,6.59395143329572,6.915281985395,7.69905191344394,5.37155921108898,5.8278192786129,6.77873437551082
"TMEM5",7.22207045187779,7.62497825265389,7.98527277118695,7.60733038773397,7.94310090619311,7.74752173967374,8.13955140355819,9.38844789784345,7.73538685059572,7.73064002384029,8.00450144841465,8.41489664648209,7.87835757164994,7.9224357997012,7.63807390960517,8.42836021458223,7.71355842513728,7.97899645327067,8.18289094239087,8.72655881316293
"GPC4",4.16992580293933,4.43296007519032,3.45943293017765,4.24031509266422,6.58044717035049,7.80154676802262,4.01792279854948,5.75221363552654,3.6205875833742,4.10433749859068,6.16792006620492,6.35931049261455,7.61250001945917,6.51569999595562,5.95186773739555,5.17392733163827,4.37155955956592,6.52825889906339,3.39231879677338,5.15785257325794
"NCAN",6.10852466586439,5.73606389854628,4.95884313913225,5.6467389862709,6.20163405718799,4.54843724123225,5.31831720291264,6.02014679540684,5.5422583593581,5.58195405203773,5.62058670368255,5.3110674656548,5.56985591205619,5.42961629893373,5.14159668707924,5.09170025721447,5.89239126879134,5.49505584825602,5.28169862097154,5.87774449530528
"REEP2",4.06177706147568,3.33628481627466,5.37155921108898,3.30742998245923,4.51727632320728,3.30742998245923,4.20163464524283,4.54225866894921,4.01792279854948,3.7441621722081,4.10433749859068,2.94486031943625,3.27798623461347,3.5360541439423,4.16188848835155,3.82782004059939,3.20163542931558,3.93546069074292,4.52356258331559,3.26303590864035
"SDS",5.3110674656548,5.75755695561134,5.52982125880032,5.75755695561134,5.64096819956711,4.91647712215123,5.51096223565784,6.03562412965373,5.31469688814243,5.51412257585887,5.12928342914349,4.94485891421494,5.1251555447019,5.65248678173624,5.41953922859203,5.44294382750272,5.80477663604078,4.99548497113294,5.28169862097154,5.34340817764138
"ITIH3",4.68929971971991,3.8678974521396,4.49825150588832,3.8678974521396,5.71699116868154,4.7602214788262,4.29278248529656,3.59693633469669,5.08746326557235,4.26303515723727,4.57289027459484,4.74953480398702,2.96347597358273,4.08746368989423,5.94719881808619,4.65535240111047,3.82782004059939,3.70044082790608,4.57893931673135,4.83794374632976
"PIP",5.27426203404642,5.27052931613586,4.72792099897632,5.07038975726486,3.6667577278647,5.0531117710062,3.29278322136489,4.86294774379233,4.65535240111047,4.79181459199027,2.51096445031909,3.40599372070825,5.18189804054498,5.59096154065689,3.77610504113485,4.85798149260853,5.70043999558242,4.36457313263308,3.40599372070825,12.7755074058577
"TSNAX-DISC1",4.20163464524283,5.70597817806086,5.0312191718018,5.58195405203773,5.49185341692854,4.89239151166923,4.86789695806621,5.59693544046469,4.82273065773066,5.23266114048571,5.539159121365,4.89724090970057,5.13339953644137,4.96809121297012,5.38197582452729,4.77610451460411,5.53294059997004,5.12101581552885,4.60288500241996,5.64096819956711
"ID1",9.86588790772053,5.35755235649488,10.6204947821121,5.26678691542084,6.52825889906339,10.0218128374622,7.71973112518889,8.42626479664091,7.84549011367025,6.1977083545083,8.76453993174973,8.46066070555835,9.68211678251179,10.6770148653677,8.61507786842328,7.58796506386683,4.94953539990854,10.1670417540538,9.26538065688939,5.59693544046469
"ATG13",4.10433749859068,7.21626093418557,5.95186773739555,7.43379414219593,6.0531115537329,4.0959252636796,6.47735368855319,7.54843670176308,5.40599269993406,6.79441599632263,6.60733046171833,6.79311568536407,5.30012409073522,7.04001578847516,6.90448421832671,7.19377184194142,7.60954821287014,7.2230364344678,6.08746305341136,7.71080650256308
"APOBEC3C",5.76553501156425,7.386293721385,6.98299368874134,6.94719870117413,6.77214972277859,7.2723966023554,8.42458626823873,5.70873931720946,6.28909688690783,7.29920810998696,6.89117624629582,5.0356243495767,5.24792789310013,6.78528911150139,6.01569403008736,5.21334767059998,7.17392703190943,4.85798149260853,9.09302137300505,5.90929332587289
"AIMP2",5.92837055991469,6.0552826524478,5.68088720194677,5.82527708449841,6.12515533801211,5.86294749590665,5.6117628550945,6.36457260738019,5.87282900572856,5.70597817806086,5.83289026726911,6.1818978418267,5.57288997150774,5.95652159565114,5.94251473992378,5.37503977898424,5.94251473992378,4.31469725062849,5.37503977898424,6.05093718282627
